score_change_repay,score_change_default,utility_default,potential_score_update_mode,agent,avg_max_unfairness_dp,avg_mean_unfairness_dp,initial_unfairness_dp,avg_max_unfairness_cs,avg_mean_unfairness_cs,initial_unfairness_cs,avg_total_utility,n_traces,max_increase_unfairness_dp,avg_increase_unfairness_dp,max_increase_unfairness_cs,avg_increase_unfairness_cs
12,-24,-10,equal,eqopp,0.2559724502292962,0.2475457278158221,0.2416927436177927,30.77251469607895,29.75915905651896,28.470232739418435,47428.142857142855,7,0.014279706611503518,0.005852984198029404,2.302281956660515,1.2889263171005254
8,-40,-10,equal,eqopp,0.2605926990125079,0.2495552663842444,0.2416927436177927,30.918268694273912,29.77948077942326,28.470232739418435,47892.28571428572,7,0.01889995539471523,0.007862522766451718,2.4480359548554773,1.3092480400048245
16,-16,-9,equal,eqopp,0.2590932695268303,0.2525598608516075,0.2470790071479909,30.863614312189128,29.79566490991056,28.470232739418435,51646.71428571428,7,0.01201426237883943,0.005480853703616589,2.393381572770693,1.3254321704921246
20,-24,-9,equal,eqopp,0.2623557377439275,0.2544639015761371,0.2470790071479909,31.1280919271712,30.011870407494392,28.470232739418435,52820.857142857145,7,0.015276730595936622,0.007384894428146188,2.6578591877527664,1.541637668075957
12,-32,-9,equal,eqopp,0.2651544342817435,0.2560116324629731,0.2470790071479909,31.086391475721666,29.880185082229364,28.470232739418435,49790.42857142857,7,0.018075427133752625,0.008932625314982207,2.6161587363032304,1.4099523428109286
8,-16,-8,equal,eqopp,0.26438077039126,0.2587261950147829,0.2521252173733977,30.574871395341383,29.587976215931143,28.470232739418435,52985.57142857143,7,0.012255553017862297,0.006600977641385175,2.1046386559229475,1.1177434765127074
20,-40,-8,equal,eqopp,0.275428870209948,0.2658005495791772,0.2521252173733977,31.79867280740302,30.34288316224387,28.470232739418435,54288.333333333336,6,0.02330365283655028,0.013675332205779489,3.328440067984584,1.8726504228254335
16,-16,-7,equal,eqopp,0.2751551314077683,0.2660137797647172,0.2547831800793958,31.35633916380122,30.081928720462617,28.470232739418435,57247.28571428572,7,0.020371951328372495,0.011230599685321363,2.8861064243827848,1.611695981044182
20,-32,-7,equal,eqopp,0.281254849803953,0.269837472391054,0.2547831800793958,31.863227668438125,30.38664253861019,28.470232739418435,58063.333333333336,6,0.026471669724557167,0.015054292311658168,3.3929949290196895,1.9164097991917544
8,-24,-6,equal,eqopp,0.2838028288005085,0.2741243111730682,0.2647477520624544,31.1954131660082,29.8848282198065,28.470232739418435,59408.42857142857,7,0.019055076738054122,0.009376559110613802,2.725180426589766,1.4145954803880656
16,-40,-5,equal,eqopp,0.2982489587181196,0.2863348791651891,0.2693736529346545,32.659718961274514,30.76834036221065,28.470232739418435,65030.5,6,0.02887530578346509,0.016961226230534643,4.189486221856079,2.298107622792216
8,-32,-4,equal,eqopp,0.3045823382710339,0.2888629218199665,0.2663310858377218,32.02566881806359,30.36242521969696,28.470232739418435,68455.83333333333,6,0.03825125243331212,0.022531835982244675,3.555436078645158,1.8921924802785242
12,-16,-3,equal,eqopp,0.3024974954056003,0.2867753240256063,0.2709451980806768,32.15104585449348,30.439639855224613,28.470232739418435,74060.66666666667,6,0.031552297324923484,0.015830125944929496,3.680813115075047,1.9694071158061774
20,-40,-3,equal,eqopp,0.3164523400293628,0.2974052504568727,0.2709451980806768,33.70185544012652,31.386607594356818,28.470232739418435,76242.66666666667,6,0.04550714194868599,0.02646005237619592,5.231622700708087,2.9163748549383826
12,-40,-9,small_var,eqopp,0.2663910516520478,0.2561338356350447,0.2470790071479909,31.325243869729647,30.03892086195511,28.470232739418435,51086.833333333336,6,0.019312044504056908,0.009054828487053829,2.855011130311212,1.568688122536674
12,-32,-8,small_var,eqopp,0.2733434990911959,0.2634133154412245,0.2521252173733977,31.43160021107252,30.058367084096023,28.470232739418435,54163.16666666666,6,0.02121828171779816,0.011288098067826768,2.9613674716540856,1.588134344677588
16,-32,-6,small_var,eqopp,0.2898531693884514,0.2769209784344493,0.2647477520624544,31.971095222919093,30.42777047094549,28.470232739418435,59336.0,6,0.025105417325997026,0.012173226371994916,3.500862483500658,1.9575377315270543
20,-16,-10,large_var,eqopp,0.2515983065831952,0.2456395845786956,0.2416927436177927,30.611457666569876,29.709981060911087,28.470232739418428,48798.3,10,0.009905562965402515,0.00394684096090292,2.1412249271514483,1.2397483214926588
20,-16,-6,large_var,eqopp,0.2842296881817833,0.2728617946803816,0.2647477520624544,31.629987618073017,30.25436680028581,28.470232739418428,62274.4,10,0.019481936119328913,0.008114042617927197,3.1597548786545886,1.7841340608673804
12,-16,-5,large_var,eqopp,0.2874250081509693,0.2786713373832686,0.2693736529346545,31.56644557342482,30.130061735643164,28.470232739418428,65851.0,10,0.01805135521631479,0.009297684448614119,3.0962128340063906,1.6598289962247357
20,-24,-4,large_var,eqopp,0.3054878176359551,0.2885109004658791,0.2663310858377218,32.709991083021954,30.902089804208543,28.470232739418428,70868.3,10,0.03915673179823331,0.022179814628157324,4.239758343603526,2.4318570647901154
16,-40,-4,large_var,eqopp,0.3096794076094921,0.2913374510400403,0.2663310858377218,32.74179009816135,30.801659282887535,28.470232739418428,67373.6,10,0.04334832177177028,0.02500636520231847,4.271557358742925,2.3314265434691066
8,-32,-3,large_var,eqopp,0.3121582389742135,0.293721765547056,0.2709451980806768,32.20731486032512,30.42646531906764,28.470232739418428,69925.9,10,0.04121304089353672,0.022776567466379183,3.737082120906692,1.9562325796492104
12,-40,-6,equal,maxprof,0.4845979359064977,0.4805583381080301,0.4845979359064977,32.125141934027205,30.406567840086822,28.470232739418428,64295.9,10,0.0,-0.004039597798467576,3.654909194608777,1.9363351006683942
8,-24,-5,equal,maxprof,0.4938233001746346,0.4900708501228209,0.4938233001746346,31.22168259329747,29.88665490602141,28.470232739418428,67777.6,10,0.0,-0.0037524500518136827,2.7514498538790413,1.416422166602981
16,-32,-10,small_var,maxprof,0.4818138966039544,0.4780649902511419,0.4818138966039544,32.99836562936633,30.928365286773897,28.470232739418428,55450.9,10,0.0,-0.0037489063528124977,4.528132889947905,2.4581325473554685
8,-40,-7,small_var,maxprof,0.4939292758537073,0.4894686488447228,0.4939292758537073,31.03694253173497,29.767539997627303,28.470232739418428,60491.6,10,0.0,-0.004460627008984475,2.5667097923165407,1.2973072582088747
20,-32,-5,small_var,maxprof,0.4938233001746346,0.4899951792573881,0.4938233001746346,33.77449237183083,31.33182825534169,28.470232739418428,67888.7,10,0.0,-0.0038281209172464914,5.304259632412403,2.8615955159232627
12,-16,-4,small_var,maxprof,0.4977685047783612,0.4951892272380684,0.4977678923766667,32.44983464124617,30.545119690071814,28.470232739418428,71657.8,10,6.124016945219246e-07,-0.0025786651385982795,3.979601901827742,2.0748869506533865
16,-24,-3,small_var,maxprof,0.5022196526712721,0.4986066654859016,0.5022165722204522,33.371390133693886,31.0410321563715,28.470232739418428,77743.5,10,3.080450819870073e-06,-0.0036099067345506386,4.901157394275458,2.570799416953072
8,-16,-9,large_var,maxprof,0.4855024097913644,0.4827918884004802,0.4855024097913644,31.192701263744244,29.87469341878032,28.470232739418428,54120.6,10,0.0,-0.0027105213908841796,2.7224685243258158,1.4044606793618932
16,-24,-8,large_var,maxprof,0.4951850135918752,0.4918072120864608,0.4951850135918752,33.161834971388984,30.99810111477267,28.470232739418428,58569.9,10,0.0,-0.003377801505414446,4.691602231970556,2.5278683753542417
12,-24,-7,large_var,maxprof,0.4939292758537073,0.4902599209999747,0.4939292758537073,32.40887383308351,30.553795829255005,28.470232739418428,63000.8,10,0.0,-0.003669354853732598,3.9386410936650833,2.083563089836577
