Unnamed: 0,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces,max_increase_unfairness_risk,avg_increase_unfairness_risk,avg_increase_gap_tpr,avg_increase_gap_fpr,avg_increase_gap_precision,avg_increase_gap_f1,avg_increase_gap_accuracy
1,xgboost,0.4,expectation,expectation,0.0341898798942565,0.0184792932122945,0.0011719241738319,0.1292670292670293,0.1029998186998187,0.1078736078736078,0.0444938917134564,0.0259838889642891,1.885707631735928e-05,0.0520403182643098,0.0385083339162821,0.0331749369892921,0.06168309698311,0.050321908262469,0.0191075393888124,0.0413550672087586,0.0219465173665203,0.0058753669287801,0.6714335216572505,0.1459822395533301,0.1119012555714129,0.1872418862148763,0.8498203307645685,10,0.033017955720424604,0.017307369038462597,-0.004873789173789098,0.02596503188797174,0.005333396926989996,0.031214368873656605,0.016071150437740198
3,xgboost,0.5,expectation,expectation,0.0340361818671226,0.0183720625936985,0.0011719241738319,0.1584045584045584,0.1307312872312872,0.1340326340326339,0.0416701231389993,0.022688575702195,0.0017892260762002,0.067661767033751,0.0484000897004623,0.0125695335900727,0.0683987390462771,0.0491406556970812,0.0237617025012895,0.0366183709185079,0.0179882364732588,0.0089834287544596,0.584132956685499,0.0889837550405459,0.1558232754659218,0.2378944560792767,0.9035015239414668,10,0.032864257693290704,0.0172001384198666,-0.003301346801346694,0.0208993496259948,0.0358305561103896,0.025378953195791698,0.0090048077187992
12,mlp,0.6,expectation,expectation,0.0256032198667526,0.014474034230411,0.0038971900939941,0.1044418544418544,0.0816447034447034,0.0726495726495726,0.0169324687570556,0.0114392821702748,0.0057837030937139,0.0521363458799618,0.024401562407827,0.0436183081553999,0.0678444029665368,0.0379261383944346,0.0579493742889647,0.0224302234709384,0.0176465120130422,0.0127442923814157,0.4362625235404896,0.0380695971994505,0.2364669719431504,0.2970530424989877,0.9498458221491038,10,0.0217060297727585,0.0105768441364169,0.008995130795130798,0.0056555790765609,-0.019216745747572903,-0.020023235894530096,0.004902219631626499
14,xgboost,0.3,same,expectation,0.0318090431392192,0.017378456890583,0.0011719241738319,0.1127557627557627,0.0816937321937321,0.1033411033411033,0.0443609110108735,0.0291094134303778,0.0047723491903939,0.0397500638075362,0.0297169544810854,0.0367442195967167,0.0549028361082693,0.0456178942429483,0.0412873090016625,0.0429771710931229,0.0263090408610852,1.127365334552266e-05,0.7487932203389831,0.2217257854389152,0.0811787259002905,0.1446364642579714,0.7775964758853581,10,0.0306371189653873,0.0162065327167511,-0.021647371147371197,0.0243370642399839,-0.0070272651156312975,0.004330585241285802,0.026297767207739676
16,xgboost,0.45,same,expectation,0.0314995944499969,0.0172268263995647,0.0011719241738319,0.1434990934990934,0.118795053095053,0.1134421134421134,0.0404399726410445,0.0221109460785576,0.0021698988606597,0.0527774990096283,0.0406302930078296,0.0230291447682751,0.0618378149729918,0.0463851062794485,0.0004824522035724,0.0361479762254928,0.0178653105315756,0.0084488948112075,0.6267065913370998,0.1135792972038817,0.1328038311269497,0.2129969517906886,0.8804501342107542,10,0.030327670276164998,0.0160549022257328,0.005352939652939606,0.0199410472178979,0.0176011482395545,0.0459026540758761,0.009416415720368098
18,xgboost,0.55,same,expectation,0.0312802717089653,0.0170128606259822,0.0011719241738319,0.177013727013727,0.148359829059829,0.1206941206941207,0.045815782243191,0.0227286258160405,0.0006083638835876,0.0778895680624027,0.0571007940193449,0.0216739637595474,0.077291138577853,0.0479501065365179,0.0228472930278493,0.0391825000706864,0.0177932204619581,0.0079265538967744,0.5314900188323917,0.0656947223822395,0.1847568626363789,0.2648483775762369,0.9250449562732704,10,0.0301083475351334,0.0158409364521503,0.027665708365708308,0.022120261932452902,0.035426830259797495,0.0251028135086686,0.009866666565183698
27,mlp,0.7,same,expectation,0.0248966455459594,0.0142416316911578,0.0038971900939941,0.0912846412846412,0.0659223258223258,0.0619010619010619,0.0125931173804416,0.0077226632969879,0.0036990995212814,0.0797766055423171,0.0453948092172031,0.0664335664335664,0.0790870252674843,0.0540657423817626,0.0663323504724189,0.0192047106749499,0.0146296535757044,0.0113330811732581,0.3449905838041431,0.0189060043426241,0.3160919213846086,0.3232609043694403,0.9664706121742144,10,0.020999455451965302,0.0103444415971637,0.004021263921263896,0.0040235637757065,-0.021038757216363307,-0.012266608090656293,0.0032965724024462996
31,xgboost,0.5,random_1,expectation,0.0338462591171264,0.0181268341839313,0.0011719241738319,0.1609039109039109,0.1325607096607096,0.1340326340326339,0.0421689469219516,0.0221959664595258,0.0017892260762002,0.0649139203538188,0.047616576576488,0.0125695335900727,0.0689183071335404,0.0480676467557654,0.0237617025012895,0.0370740314891826,0.017619131404799,0.0089834287544596,0.5894071563088513,0.0883283201134399,0.1580958084216871,0.2410531104767179,0.904263139665772,10,0.032674334943294504,0.016954910010099397,-0.0014719243719243102,0.0204067403833256,0.0350470429864153,0.0243059442544759,0.008635702650339399
32,xgboost,0.55,random_1,expectation,0.034010212868452,0.0181287452578544,0.0011719241738319,0.1767547267547267,0.1461118622118621,0.1206941206941207,0.0465511308004864,0.0221156678604478,0.0006083638835876,0.0754235373734105,0.0564273628544029,0.0216739637595474,0.0773155465409758,0.0473062189669815,0.0228472930278493,0.0399807093925267,0.0172669740797006,0.0079265538967744,0.5328482109227872,0.0655226658395001,0.1852570084962297,0.2655422562060618,0.9252442808901202,10,0.032838288694620105,0.016956821084022498,0.0254177415177414,0.0215073039768602,0.034753399094855496,0.0244589259391322,0.0093404201829262
33,xgboost,0.6,random_1,expectation,0.0336057171225547,0.0180569924414157,0.0011719241738319,0.182051282051282,0.1490358715358715,0.1109816109816109,0.0398903698404329,0.0161304951171469,0.0011243699627235,0.0830530971689069,0.0564718548677495,0.0175654853620955,0.0756703496336078,0.0411675949747458,0.0307098916121473,0.0322004612913686,0.0125752318921163,0.0084611330552137,0.4907529190207157,0.0469238091017857,0.2226500443414095,0.2970773146193926,0.9424478396397956,10,0.032433792948722805,0.0168850682675838,0.0380542605542606,0.015006125154423402,0.038906369505654,0.010457703362598499,0.004114098836902599
34,xgboost,0.7,random_1,expectation,0.0319579020142555,0.0171563774347305,0.0011719241738319,0.1867262367262367,0.1521342139342139,0.1459466459466459,0.0197079491543071,0.005156689846045,0.0009319756449049,0.0869160388863265,0.0374475683007718,0.0127572016460905,0.0843658894902376,0.0422910022110725,0.0806878306878307,0.0111505776059305,0.006747499844309,0.0095240968914438,0.4191438794726929,0.0226982939690698,0.3163292297705589,0.3560241450683728,0.9644702138713308,10,0.0307859778404236,0.015984453260898597,0.0061875679875680045,0.0042247142011400994,0.024690366654681297,-0.038396828476758196,-0.0027765970471348
42,xgboost,0.3,random_2,expectation,0.0336949452757835,0.0183228962123394,0.0011719241738319,0.1138176638176638,0.0744138306138306,0.1033411033411033,0.0450636076754857,0.0293212678875603,0.0047723491903939,0.0398484472789225,0.0301614503705368,0.0367442195967167,0.054602809818675,0.046582120448407,0.0412873090016625,0.043979861577623,0.0267084797828127,1.127365334552266e-05,0.7515359698681733,0.2226751805734036,0.081074242075534,0.1445368080657986,0.776731959477011,10,0.0325230211019516,0.0171509720385075,-0.028927272727272704,0.0245489186971664,-0.0065827692261799,0.005294811446744499,0.026697206129467178
44,xgboost,0.45,random_2,expectation,0.0334603078663349,0.0181165896356105,0.0011719241738319,0.1461408961408961,0.1144099715099715,0.1134421134421134,0.0407939950916302,0.0221096358522395,0.0021698988606597,0.0505668585605299,0.0403422402354597,0.0230291447682751,0.0632138980911985,0.0463972134188272,0.0004824522035724,0.0368268264961238,0.0180804541045653,0.0084488948112075,0.6282772128060262,0.1146239110205166,0.1324929513961647,0.2125529213892427,0.8794656420469306,10,0.032288383692503,0.0169446654617786,0.0009678580678580961,0.0199397369915798,0.0173130954671846,0.0459147612152548,0.0096315592933578
50,mlp,0.4,random_2,expectation,0.0255921363830566,0.0146329046651721,0.0038971900939941,0.1138176638176638,0.0718048433048433,0.1067081067081067,0.0188345576344773,0.0103262316341003,0.0116503552034865,0.0214969516988819,0.0150085157498124,0.0060971462634975,0.0310346507832081,0.0218697200190682,0.0221817102641285,0.0208300745743125,0.0131502225883379,0.0174195125959564,0.6623819209039548,0.1745596490450657,0.0989074927532959,0.1669312137069376,0.8216918001558577,10,0.0216949462890625,0.010735714571178001,-0.0349032634032634,-0.0013241235693861996,0.0089113694863149,-0.0003119902450603,-0.0042692900076185
62,xgboost,0.7,expectation,random_1,0.0328315496444702,0.0176043473184108,0.0011719241738319,0.1872830872830873,0.1528009065009065,0.1459466459466459,0.0203562786638224,0.0053837207342046,0.0009319756449049,0.0850690653186749,0.0372460287400395,0.0127572016460905,0.0848657598382688,0.0428836174435961,0.0806878306878307,0.0117986544201432,0.0068659373738307,0.0095240968914438,0.4197171374764595,0.0232094031107369,0.3126701615285207,0.3536191912384825,0.963984033249632,10,0.0316596254706383,0.0164324231445789,0.0068542605542606105,0.0044517450892997,0.024488827093949003,-0.037804213244234594,-0.0026581595176131
63,mlp,0.3,expectation,random_1,0.0228878945112228,0.0135410586476325,0.0038971900939941,0.1081455581455581,0.0585252266252266,0.0976430976430976,0.025975559427914,0.0103318873239525,0.0070216026097498,0.0254520463945138,0.0175629035824036,0.0186871215715882,0.0352411767010618,0.0270459663011921,0.0163712904151864,0.0236461261707492,0.0113341255114515,0.011781450041408,0.7393250470809791,0.2544824655470377,0.0741906682494853,0.1323491653919481,0.7453751753398563,10,0.0189907044172287,0.009643868553638399,-0.039117871017871,0.0033102847142026997,-0.0011242179891846026,0.010674675886005701,-0.0004473245299564995
73,xgboost,0.5,same,random_1,0.0319027230143547,0.0174691397696733,0.0011719241738319,0.1574203574203574,0.1313949235949235,0.1340326340326339,0.042161354322015,0.022757316297554,0.0017892260762002,0.0656319625666279,0.0486213770756183,0.0125695335900727,0.0695494996860175,0.0489632018382536,0.0237617025012895,0.0367831425965827,0.0180612081727114,0.0089834287544596,0.5876839924670433,0.0892745247485266,0.1566526773352286,0.2391979335500159,0.9032990735128584,10,0.030730798840522797,0.016297215595841397,-0.002637710437710411,0.020968090221353798,0.0360518434855456,0.025201499336964105,0.009077779418251799
85,xgboost,0.4,random_1,random_1,0.0344882830977439,0.0186521280556917,0.0011719241738319,0.1374384874384874,0.1110008547008547,0.1078736078736078,0.0438134964843046,0.0257990545644947,1.885707631735928e-05,0.0512510268567798,0.0373109104815301,0.0331749369892921,0.0598280603457593,0.0483567380904841,0.0191075393888124,0.0404095241993791,0.0216150914037066,0.0058753669287801,0.6740934086629002,0.1468584570390393,0.1117383590110612,0.1871234686164104,0.8490254047969522,10,0.033316358923912,0.0174802038818598,0.00312724682724691,0.02578019748817734,0.0041359734922380015,0.029249198701671704,0.015739724474926498
93,mlp,0.45,random_1,random_1,0.0225411680611697,0.0130536560199477,0.0038971900939941,0.1182571637117091,0.0824661062842881,0.1080031080031079,0.0146680619529036,0.0102297479402753,0.00960105631227,0.0195344624937401,0.0132881612631822,0.0108088930936613,0.0331105948083228,0.0194638725978517,0.0312051820395474,0.0182669808499213,0.0141175580864575,0.0157720068194148,0.6128197226502311,0.1305797121299403,0.1198619528397592,0.1937390865643239,0.8635212966097026,11,0.018643977967175603,0.009156465925953601,-0.0255370017188198,0.0006286916280052995,0.0024792681695209005,-0.011741309441695703,-0.0016544487329573018
103,xgboost,0.6,random_2,random_1,0.0334285274147987,0.0178828034549951,0.0011719241738319,0.1943149443149443,0.1576601398601398,0.1109816109816109,0.0399542682324702,0.016102930614017,0.0011243699627235,0.0800240998707109,0.054798608488631,0.0175654853620955,0.0713401370008954,0.0387052423869365,0.0307098916121473,0.0322097650697245,0.0122665511187533,0.0084611330552137,0.4962753295668549,0.0472098550981521,0.2237125733995316,0.298911162946154,0.9422953242704996,10,0.032256603240966804,0.0167108792811632,0.0466785288785289,0.014978560651293498,0.0372331231265355,0.007995350774789196,0.0038054180635395986
109,mlp,0.55,random_2,random_1,0.0229825288057327,0.0131499980717897,0.0038971900939941,0.1202020202020202,0.0964493654493654,0.0905205905205905,0.0134867808498055,0.0101381319881583,0.0072905233198123,0.0368576589166065,0.0158643158748402,0.0301790281329922,0.0589455364866831,0.0261282835327294,0.0520243402819615,0.0194772422015407,0.0160401072968449,0.0140436261446752,0.4912229755178908,0.0594473877786147,0.1864509585099725,0.2613510969996536,0.93022297168586,10,0.019085338711738602,0.0092528079777956,0.005928774928774902,0.002847608668346,-0.014314712258152,-0.025896056749232097,0.0019964811521697
114,xgboost,0.45,expectation,random_2,0.0344871766865253,0.0188122596591711,0.0011719241738319,0.1424242424242424,0.1183980833980834,0.1134421134421134,0.0429041959404277,0.024179881806342,0.0021698988606597,0.0548766595148394,0.0417019324350939,0.0230291447682751,0.0624395392476467,0.0482099921193804,0.0004824522035724,0.0387247038360022,0.0198769181684087,0.0084488948112075,0.6303175141242938,0.1162176718216865,0.1315481955977083,0.211403311249116,0.8779554247120963,10,0.033315252512693405,0.0176403354853392,0.004955969955970002,0.0220099829456823,0.0186727876668188,0.047727539915808,0.0114280233572012
116,xgboost,0.55,expectation,random_2,0.0346909053623676,0.0184552073478698,0.0011719241738319,0.1705128205128205,0.1449817404817404,0.1206941206941207,0.0468168417786228,0.0227887256676961,0.0006083638835876,0.0780725938341016,0.0571560177145668,0.0216739637595474,0.0793274408558706,0.0501320646041848,0.0228472930278493,0.0404475396216164,0.0180635916762336,0.0079265538967744,0.5378033898305083,0.0666464926662826,0.1848198836536145,0.2654276358238073,0.9242602043466966,10,0.033518981188535704,0.0172832831740379,0.024287619787619702,0.0221803617841085,0.035482053955019396,0.027284771576335503,0.0101370377794592
127,xgboost,0.4,same,random_2,0.0319577194750309,0.0173905603587627,0.0011719241738319,0.1313001813001813,0.1080149443149443,0.1078736078736078,0.0421422199589868,0.0246936562804492,1.885707631735928e-05,0.0468402208606969,0.0359162040870109,0.0331749369892921,0.0583780070511571,0.0467112952418401,0.0191075393888124,0.0388628347257701,0.020660831958239,0.0058753669287801,0.6654711864406779,0.1470086497983781,0.1100359490263267,0.1844024577755351,0.8486804485236817,10,0.030785795301198998,0.016218636184930798,0.00014133644133650092,0.02467479920413184,0.002741267097718797,0.027603755853027705,0.0147854650294589
131,xgboost,0.6,same,random_2,0.0320884399116039,0.0175478309392929,0.0011719241738319,0.1833333333333333,0.146258534058534,0.1109816109816109,0.0416586690648675,0.0160962299214006,0.0011243699627235,0.0843701088025969,0.0564658397305662,0.0175654853620955,0.0746033109840035,0.0427203584265197,0.0307098916121473,0.0337943584347756,0.0126720103853859,0.0084611330552137,0.4940798493408662,0.047319493065095,0.2228363580542981,0.2976561315522298,0.94213773486882,10,0.030916515737772,0.016375906765461,0.03527692307692311,0.014971859958677098,0.038900354368470696,0.0120104668143724,0.004210877330172199
140,xgboost,0.3,random_1,random_2,0.0343445688486099,0.018728082999587,0.0011719241738319,0.1121471121471121,0.0800816886816886,0.1033411033411033,0.0455463045897349,0.0297951215692879,0.0047723491903939,0.0407158117229064,0.0299651047108096,0.0367442195967167,0.0551917727712639,0.0461444840905615,0.0412873090016625,0.044243491741024,0.0270356950330875,1.127365334552266e-05,0.7508000000000001,0.2226475561660832,0.0809498737526151,0.1443205686846327,0.7767420296129536,10,0.033172644674778,0.0175561588257551,-0.023259414659414696,0.025022772378893998,-0.006779114885907097,0.0048571750888990045,0.027024421379741977
160,xgboost,0.7,random_2,random_2,0.0326658859848976,0.017598707228899,0.0011719241738319,0.1948070448070447,0.1564921522921522,0.1459466459466459,0.0211473468401717,0.0051320862293731,0.0009319756449049,0.0855310421591324,0.0339605040402187,0.0127572016460905,0.0846174575305673,0.0430683879493156,0.0806878306878307,0.0120458669490666,0.0069170868825496,0.0095240968914438,0.4192414312617701,0.0230057872114148,0.3146297133228041,0.3546548872537166,0.964172032210581,10,0.0314939618110657,0.016426783055067097,0.0105455063455063,0.0042001105844681995,0.0212033023941282,-0.0376194427385151,-0.0026070100088942004
164,mlp,0.5,random_2,random_2,0.0223094969987869,0.0126233020126819,0.0038971900939941,0.1199171199171199,0.0900478891478891,0.1020461020461019,0.012106346484518,0.0070934121591249,0.0098387644925755,0.031695005009637,0.0159449247478051,0.0292616158626812,0.0534673413771252,0.0229898220933196,0.0505166475315729,0.0181101353941651,0.0118952091705804,0.0164433016322622,0.5589838041431261,0.0963733327425001,0.1432644833367658,0.2196291868147469,0.8957036713135336,10,0.0184123069047928,0.008726111918687801,-0.011998212898212804,-0.002745352333450599,-0.0133166911148761,-0.027526825438253303,-0.0045480924616818005
