Unnamed: 0,hot_spot_discover_rate,non_hot_spot_discover_rate,hot_spot_effect_size,avg_max_unfairness_rln,avg_mean_unfairness_rln,initial_unfairness_rln,avg_utility_mean_discover_rate,avg_utility_total_discover_n,avg_n_correct_hotspot,n_traces,max_increase_unfairness_rln,avg_increase_unfairness_rln
0,1.0,0.5,1,0.2693388317957673,0.1626308263334438,0.0073908338300024,0.6677266369084041,33136.5,15.935859375,32,0.2619479979657649,0.1552399925034414
2,1.0,0.4,1,0.2977044297945547,0.1814019702305289,0.0073908338300024,0.5981225157035223,29683.45833333333,15.666666666666666,24,0.2903135959645523,0.1740111364005265
3,1.0,0.35,1,0.298790371394417,0.18940104045066,0.0073908338300024,0.5620816814013931,27896.6875,15.46484375,16,0.2913995375644146,0.1820102066206576
5,1.0,0.25,1,0.3515501524646029,0.2210063028646697,0.0073908338300024,0.4889340820404987,24270.875,14.965208333333331,24,0.34415931863460053,0.21361546903466733
6,1.0,0.2,1,0.3713110465440903,0.2347410370694766,0.0073908338300024,0.4499385855627599,22337.59375,14.593984375000002,32,0.3639202127140879,0.2273502032394742
8,0.95,0.45,1,0.2773493234900425,0.168956786354597,0.0073908338300024,0.6164224163562997,30591.875,15.84640625,16,0.2699584896600401,0.1615659525245946
11,0.95,0.3,1,0.3167631995147952,0.1972459093771589,0.0073908338300024,0.5099951146551757,25313.875,15.266770833333334,24,0.3093723656847928,0.18985507554715653
12,0.95,0.25,1,0.3442818980257132,0.2149520308352147,0.0073908338300024,0.4736059597482859,23504.3125,15.07265625,16,0.3368910641957108,0.2075611970052123
16,0.9,0.4,1,0.2793571558743736,0.1744218658640683,0.0073908338300024,0.5671716231216397,28142.8125,15.78171875,16,0.2719663220443712,0.16703103203406588
17,0.9,0.35,1,0.3061271561790343,0.1885967882725812,0.0073908338300024,0.5303699351633752,26323.3125,15.5684375,16,0.2987363223490319,0.1812059544425788
18,0.9,0.3,1,0.309514673176198,0.1949246185248441,0.0073908338300024,0.4949403238158275,24568.041666666668,15.377291666666666,24,0.30212383934619563,0.18753378469484172
24,0.85,0.35,1,0.3002774069568985,0.1799534339238133,0.0073908338300024,0.5149478017492146,25557.625,15.66390625,32,0.2928865731268961,0.17256260009381091
25,0.85,0.3,1,0.3051821992679125,0.1939576782357132,0.0073908338300024,0.4795177827083699,23799.625,15.47734375,16,0.2977913654379101,0.1865668444057108
27,0.85,0.2,1,0.3500872534059902,0.2203218159220603,0.0073908338300024,0.4059320754450221,20149.59375,14.86125,32,0.3426964195759878,0.2129309820920579
28,0.8,0.5,1,0.2567918555894823,0.1494156093536845,0.0073908338300024,0.6016386916282395,29852.125,16.0890625,16,0.24940102175947992,0.1420247755236821
29,0.8,0.45,1,0.2556054764099565,0.1570238834840905,0.0073908338300024,0.5671855839969039,28146.75,15.9953125,24,0.24821464257995413,0.14963304965408808
30,0.8,0.4,1,0.2717226895006236,0.1634163587258297,0.0073908338300024,0.533455798191471,26472.166666666668,15.864479166666664,24,0.26433185567062123,0.15602552489582733
33,0.8,0.25,1,0.3231734555102291,0.1966430021383265,0.0073908338300024,0.4280144211298207,21246.6875,15.3034375,16,0.3157826216802267,0.1892521683083241
39,1.0,0.3,2,0.3763932878158054,0.2260162401063864,0.0073908338300024,0.6750345451574329,33509.1875,15.9840625,16,0.369002453985803,0.218625406276384
45,0.95,0.35,2,0.3528473480157025,0.2085721155024502,0.0073908338300024,0.6777917248914368,33642.958333333336,16.063125000000003,24,0.3454565141857001,0.2011812816724478
48,0.95,0.2,2,0.411065180765522,0.2579394040382455,0.0073908338300024,0.5904128073287983,29311.33333333333,15.633229166666666,24,0.4036743469355196,0.2505485702082431
49,0.9,0.5,2,0.2680791223225143,0.1616519151973833,0.0073908338300024,0.7298868561789611,36218.8125,16.309531250000003,16,0.2606882884925119,0.15426108136738093
54,0.9,0.25,2,0.3837878226612733,0.2342856684653315,0.0073908338300024,0.5965143218751094,29612.20833333333,15.876354166666667,24,0.37639698883127093,0.2268948346353291
56,0.85,0.5,2,0.2643113437915148,0.1561610770883722,0.0073908338300024,0.7020909284555248,34840.8125,16.312343749999997,16,0.2569205099615124,0.1487702432583698
57,0.85,0.45,2,0.2759143474930775,0.1645133935905914,0.0073908338300024,0.6784747896823216,33669.3125,16.26484375,32,0.26852351366307514,0.15712255976058898
58,0.85,0.4,2,0.3019980856434304,0.1785653709231221,0.0073908338300024,0.6531649046042526,32414.9375,16.174453125,32,0.294607251813428,0.1711745370931197
69,0.8,0.2,2,0.394646128743918,0.2476642199694625,0.0073908338300024,0.5160737055711853,25618.8125,15.721015625,32,0.38725529491391564,0.2402733861394601
71,1.0,0.45,3,0.2968192159002504,0.1580740828272977,0.0073908338300024,0.8244241819478632,40901.625,16.398359375,32,0.289428382070248,0.1506832489972953
77,0.95,0.5,3,0.2554287581825207,0.1436528371384912,0.0073908338300024,0.810845826607167,40227.125,16.455546875,32,0.2480379243525183,0.1362620033084888
79,0.95,0.4,3,0.2967138282745291,0.1606901462700738,0.0073908338300024,0.7730805255400499,38353.5,16.372109375,32,0.2893229944445267,0.1532993124400714
85,0.9,0.45,3,0.277275260640355,0.1492938412473197,0.0073908338300024,0.7607848178872594,37743.66666666666,16.463333333333335,24,0.26988442681035263,0.14190300741731732
90,0.9,0.2,3,0.365572598150129,0.2190959746140454,0.0073908338300024,0.652215860822525,32358.5,16.049999999999997,16,0.3581817643201266,0.211705140784043
96,0.85,0.25,3,0.3089904022595966,0.203411995733101,0.0073908338300024,0.6418937914438652,31841.5,16.13375,16,0.30159956842959423,0.1960211619030986
101,0.8,0.35,3,0.2768354040594219,0.1500852124859749,0.0073908338300024,0.6587324470025906,32685.5,16.36625,16,0.26944457022941953,0.1426943786559725
102,0.8,0.3,3,0.3023660817404501,0.1575005467844106,0.0073908338300024,0.638333415445476,31670.0,16.308333333333334,24,0.2949752479104477,0.15010971295440823
